,Program Enrollment Month,Enrollment Count,Enrollment Count Last Year,Enrollment Count Last Month,Change Enrollment Count Last Year,Change Enrollment Count Last Month
1,2026-03,"11,969",16331,"9,954",'-26.7%,20.20%
2,2026-02,"9,954",13920,"10,585",'-28.5%,'-6.0%
3,2026-01,"10,585",13932,"9,233",'-24.0%,14.60%
4,2025-12,"9,233",9455,"8,596",'-2.3%,7.40%
5,2025-11,"8,596",10153,"11,412",'-15.3%,'-24.7%
6,2025-10,"11,412",11040,"12,161",3.40%,'-6.2%
7,2025-09,"12,161",13248,"14,210",'-8.2%,'-14.4%
8,2025-08,"14,210",13589,"13,494",4.60%,5.30%
9,2025-07,"13,494",12013,"14,565",12.30%,'-7.4%
10,2025-06,"14,565",14198,"15,152",2.60%,'-3.9%
11,2025-05,"15,152",15608,"15,199",'-2.9%,'-0.3%
12,2025-04,"15,199",15578,"16,331",'-2.4%,'-6.9%
